Course Code,Course Name,Days,Times
CSE 101,Introduction to Computer Science and Information Technology,"[('MW', '10:00am - 10:50am '), ('F', '10:00am - 10:50am L')]"
CSE 107,Introduction to Computer Programming using Python,"[('MWF', '1:00pm - 1:50pm '), ('MWF', '2:00pm - 2:50pm L')]"
CSE 113,Introduction to Programming,"[('MWF', '2:00pm - 2:50pm '), ('M', '3:00pm - 6:00pm L')]"
CSE 117,Data Structures in Python,[]
CSE 122,Algorithms and Data Structures,[]
CSE 209,Programming Language Practicum,[]
CSE 213,Introduction to Object Oriented Programming,[]
CSE 221,Computer System Organization,[]
CSE 222,Systems Programming,[]
CSE 241,Foundations of Computer Science,"[('MWF', '2:00pm - 2:50pm '), ('F', '9:00am - 9:50am L')]"
CSE 307,Python for Data Science,[]
CSE 320,Video Game Design,[]
CSE 321,Internet and Web Programming,[]
CSE 324,Principles of Programming Languages,[]
CSE 325,Principles of Operating Systems,"[('TR', '12:30 pm-01:45 pm '), ('T', '05:00 pm-05:50 pm L')]"
CSE 326,Software Engineering,[]
CSE 328,Secure Software Construction,[]
CSE 331,Computer Architecture,[]
CSE 342,Formal Languages and Automata,[]
CSE 344,Design and Analysis of Algorithms,"[('MWF', '12:00 pm-12:50 pm '), ('W', '09:00 am - 09:50 am L')]"
CSE 351,Modeling and Simulation Technologies for Information Systems,[]
CSE 353,Introduction to Computer Networks,[]
CSE 363,Computer Security,[]
CSE 373,Introduction to Database Systems,[]
CSE 382,Ethical and Social Issues of Computing Information Technology,"[('MWF', '11:00 am-11:50 am ')]"
CSE 391,Directed Study,[]
CSE 411,Introduction to Data Science,[]
CSE 423,Compiler Writing,"[('TR', '12:30 pm-01:45 pm '), ('W', '02:00 pm-02:50 pm L')]"
CSE 441,Cryptography and Applications,[]
CSE 451,Introduction to Parallel Processing,[]
CSE 452,Introduction to Sensor Networks,[]
CSE 453,Advances in Computer Networks and the Internet,[]
CSE 454,Computer Graphics,[]
CSE 464,Introduction to Soft Computing,[]
CSE 465,Introduction to Neural Networks and Applications,[]
CSE 466,Introduction to Machine Learning,[]
CSE 476,Visualization,[]
CSE 485,Undergraduate Seminar on Special Topics,[]
CSE 489,Special Topics in Computer Science,[]
CSE 491,Directed Study,[]
CSE 493,Undergraduate Thesis,[]
CSE 494,Undergraduate Thesis,[]
